id,name,symbol
1,BTC/KRW,BTC/KRW
2,ETH/KRW,ETH/KRW
3,XRP/KRW,XRP/KRW
4,SOL/KRW,SOL/KRW
5,BTC/USD,BTC/USD
6,ETH/USD,ETH/USD
