id,Name,Code
275,스피어,347700
276,삼표시멘트,038500
277,노바렉스,194700
278,CJ프레시웨이,051500
279,바텍,043150
280,에이직랜드,445090
281,제이브이엠,054950
282,잉글우드랩,950140
283,코난테크놀로지,402030
284,바디텍메드,206640
285,디아이티,110990
286,와이바이오로직스,338840
287,하림,136480
288,에이스침대,003800
289,덕산하이메탈,077360
290,쓰리빌리언,394800
291,유니셈,036200
292,대화제약,067080
293,필에너지,378340
294,에이디테크놀로지,200710
295,한국정보통신,025770
296,삼목에스폼,018310
297,범한퓨얼셀,382900
298,HLB테라퓨틱스,115450
299,LS증권,078020
300,아이패밀리에스씨,114840
301,KH바텍,060720
302,윤성에프앤씨,372170
303,AP시스템,265520
304,KG이니시스,035600
305,LB세미콘,061970
306,대양전기공업,108380
307,JTC,950170
308,상아프론테크,089980
309,에이치브이엠,295310
310,뉴로핏,380550
311,유니슨,018000
312,도우인시스,484120
313,진성티이씨,036890
314,네오팜,092730
315,더즌,462860
316,아이티엠반도체,084850
317,노머스,473980
318,한라IMS,092460
319,매일유업,267980
320,에스바이오메딕스,304360
321,오픈엣지테크놀로지,394280
322,이지홀딩스,035810
323,엔케이맥스,182400
324,대아티아이,045390
325,듀켐바이오,176750
326,인탑스,049070
327,넵튠,217270
328,뉴파워프라즈마,144960
329,석경에이티,357550
330,슈어소프트테크,298830
331,한국정보인증,053300
332,비덴트,121800
333,메카로,241770
334,피노,033790
335,유진기업,023410
336,HLB이노베이션,024850
337,에이스테크,088800
338,폰드그룹,472850
339,위니아에이드,377460
340,CMG제약,058820
341,스맥,099440
342,인트로메딕,150840
343,케이티알파,036030
344,보성파워텍,006910
345,비보존 제약,082800
346,KG에코솔루션,151860
347,나우로보틱스,459510
348,마녀공장,439090
349,제이오,418550
350,싸이닉솔루션,234030
351,슈프리마,236200
352,더블유씨피,393890
353,클리오,237880
354,오로라,039830
355,나무가,190510
356,대원산업,005710
357,아주IB투자,027360
358,한국캐피탈,023760
359,폴라리스오피스,041020
360,엑스게이트,356680
361,에스투더블유,488280
362,아이스크림미디어,461300
363,와이엠티,251370
364,이스트소프트,047560
365,티엑스알로보틱스,484810
366,오로스테크놀로지,322310
367,디오,039840
368,파멥신,208340
369,해성산업,034810
370,이랜텍,054210
371,프레스티지바이오로직스,334970
372,GRT,900290
373,에브리봇,270660
374,동원개발,013120
375,바이오솔루션,086820
376,자람테크놀로지,389020
377,네패스아크,330860
378,와이씨켐,112290
379,피에이치에이,043370
380,아이씨티케이,456010
381,인포바인,115310
382,제일일렉트릭,199820
383,티움바이오,321550
384,미래반도체,254490
385,사피엔반도체,452430
386,토비스,051360
387,KZ정밀,036560
388,헬릭스미스,084990
389,박셀바이오,323990
390,하나기술,299030
391,하이비젼시스템,126700
392,엘오티베큠,083310
393,아바코,083930
394,나이스정보통신,036800
395,플리토,300080
396,제넥신,095700
397,푸른소나무,057880
398,퀄리타스반도체,432720
399,비츠로테크,042370
400,큐브엔터,182360
401,헥토파이낸셜,234340
402,골프존홀딩스,121440
