id,Name,Symbol
1,달러인덱스,DX-Y.NYB
2,USD/KRW,USD/KRW
3,EUR/KRW,EUR/KRW
4,JPY/KRW,JPY/KRW
5,CHF/KRW,CHF/KRW
6,USD/EUR,USD/EUR
7,USD/CNY,USD/CNY
8,EUR/CNY,EUR/CNY
