id,Name,Symbol
1,Gold,GC=F
2,Silver,SI=F
3,Copper,HG=F
4,NI,NI=F
5,WTI Crude oil,CL=F
6,Brent oil,BZ=F
7,Natural gas,NG=F
,PL=F,PL=F
